nome;inauguracao;latitude;longitude
Avenida Paulista;1891;-23.5676;-46.6505
Museu de Arte de São Paulo (MASP);1968;-23.5615;-46.6559
Estádio do Morumbi;1960;-23.6020;-46.7201
Catedral da Sé;1913;-23.5505;-46.6333
Mercado Municipal de São Paulo;1933;-23.5446;-46.6287
Mosteiro de São Bento;1634;-23.5489;-46.6313
Parque Estadual da Cantareira;1962;-23.4322;-46.5994
Jardim Botânico de São Paulo;1928;-23.6561;-46.6132
Pinacoteca do Estado;1905;-23.5344;-46.6336
Templo de Salomão;2014;-23.5524;-46.4006
Memorial da América Latina;1989;-23.5257;-46.6633
Parque da Juventude;2008;-23.5053;-46.6278
Museu do Futebol;2008;-23.5489;-46.6860
Parque Zoológico de São Paulo;1958;-23.6516;-46.6205
Theatro Municipal de São Paulo;1911;-23.5507;-46.6349
Parque Lage;1920;-23.0002;-43.2252
Cidade das Abelhas;1986;-230096;-46.7449
Pateo do Collegio;1554;-23.5501;-46.6342
Teatro Municipal de São Paulo;1903;-23.5475;-46.6386
Parque Nacional de Itatiaia;1937;-22.4227;-44.5837
